V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q17,tol1,tol2,tol3,tol4,tol5,tol6,tol7,tol8,tol9,lvl1,lvl2,lvl3,lvl4,growth1,growth2,growth3,growth4,fix1,fix2,fix3,fix4,fix5,fix6,fix7,bjw1,bjw2,bjw3,bjw4,bjw5,bjw6,bjw7,bjw8,bjw9,bjw10,bjw11,bjw12,bjw13,bjw14,bjw15,bjw16,bjw17,bjw18,redist1,redist2,redist3,redist4,competent,confident,independent,competitive,intelligent,tolerant,warm,good.natured,sincere,wg1,wg2,wg3,wg4,wg5,emp1,emp2,emp3,emp4,emp5,emp6,pt1,pt2,pt3,gender,age,ethnicity,income,ideology,social.iss,econ.iss,partyID
R_emPsrlSTyVSPB9r,Default Response Set,Anonymous,,,104.200.154.79,0,21/02/2017 7:53,21/02/2017 7:56,1,1,2,3,3,5,2,5,3,4,5,5,3,2,5,1,3,3,2,4,2,5,2,3,4,3,3,2,2,1,3,4,1,3,4,4,2,4,2,3,4,3,1,2,3,2,2,3,5,1,2,4,3,1,2,1,3,5,6,2,1,3,3,4,1,2,4,3,1,2,2,2,26,caucasian,5,2,2,2,1
R_0etiElDgfDMROLz,Default Response Set,Anonymous,,,32.212.113.32,0,21/02/2017 7:53,21/02/2017 7:56,1,1,4,5,4,4,6,4,5,4,5,4,4,5,4,4,3,2,4,4,5,4,4,4,4,4,3,3,4,3,5,4,4,3,3,3,3,3,3,3,4,3,4,3,4,4,3,3,2,2,3,3,2,3,3,3,3,2,2,5,6,2,2,4,4,2,2,2,4,4,4,2,26,White,9,1,1,1,1
R_ahiEFuwnJzWp0SV,Default Response Set,Anonymous,,,184.74.184.170,0,21/02/2017 7:54,21/02/2017 7:56,1,1,4,3,4,4,3,3,3,3,4,3,3,4,5,5,4,3,3,4,4,3,3,2,4,3,3,2,3,3,3,3,3,2,3,3,2,2,3,4,3,3,3,3,3,3,2,2,1,2,1,1,2,1,2,2,2,5,2,5,4,6,2,4,4,4,2,1,4,4,4,2,24,Caucasian ,3,2,1,3,1
R_1NvhMxUY9pVdfgx,Default Response Set,Anonymous,,,204.116.144.114,0,21/02/2017 7:53,21/02/2017 7:56,1,1,2,2,2,2,7,6,6,6,2,4,3,2,6,6,4,2,3,6,6,6,6,2,6,2,5,2,4,4,4,4,4,4,5,4,4,5,4,4,4,5,5,4,1,1,3,3,4,2,2,1,4,2,3,4,4,1,1,1,1,5,2,4,4,2,1,2,2,2,2,2,36,caucasian,3,7,7,7,3
R_7WHW9PxZIU0B94h,Default Response Set,Anonymous,,,63.151.141.158,0,21/02/2017 7:53,21/02/2017 7:57,1,1,7,7,7,7,1,1,1,1,7,1,1,6,7,2,6,1,6,1,2,2,1,3,1,6,1,1,2,2,2,2,2,1,1,3,1,4,1,3,1,3,2,3,4,4,3,4,3,1,3,2,3,5,4,4,4,3,2,6,6,5,2,4,4,1,1,1,2,3,3,1,35,white,1,2,1,2,2
R_0IH2sZiG08akhSJ,Default Response Set,Anonymous,,,70.113.3.107,0,21/02/2017 7:53,21/02/2017 7:57,1,1,2,2,4,2,6,6,4,4,2,7,4,2,6,6,2,6,2,5,5,7,5,1,5,3,4,1,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,1,1,1,1,4,4,2,4,4,3,4,4,4,1,1,1,1,7,2,4,4,2,2,3,4,4,4,1,44,Caucasian,4,4,4,5,4
R_eDMfE18b9GJVxD7,Default Response Set,Anonymous,,,172.9.55.116,0,21/02/2017 7:52,21/02/2017 7:57,1,1,5,5,7,6,4,2,2,3,5,2,2,6,2,6,6,2,2,3,5,6,5,3,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,2,2,4,3,4,2,4,4,4,4,4,1,1,1,1,1,2,4,5,3,2,1,4,4,4,2,30,Caucausion,1,6,6,6,1
R_7U8zvzVeocxPOnP,Default Response Set,Anonymous,,,68.10.186.177,0,21/02/2017 7:56,21/02/2017 7:58,1,1,4,3,3,4,4,4,3,5,4,4,4,5,4,4,3,4,4,4,5,5,5,4,4,4,3,2,3,3,4,4,3,2,4,3,3,4,3,3,2,2,3,3,2,2,2,2,3,3,3,3,2,2,3,3,3,4,4,4,4,4,3,2,3,4,3,3,3,2,3,2,23,african american,2,4,5,4,2
R_baBFgJJRRnjSJqB,Default Response Set,Anonymous,,,66.229.89.189,0,21/02/2017 7:52,21/02/2017 7:58,1,1,5,4,6,6,3,2,2,2,6,2,2,3,6,5,5,2,5,3,3,4,3,2,3,6,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,3,6,2,4,4,2,1,1,3,3,3,2,45,Black american,5,4,3,5,2
R_3h0WpQYsqU5mtgh,Default Response Set,Anonymous,,,74.199.84.246,0,21/02/2017 7:54,21/02/2017 7:58,1,1,1,1,7,4,4,1,1,7,7,5,5,4,4,7,1,5,3,1,1,7,1,7,1,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,1,1,1,1,7,1,5,5,5,1,1,3,3,3,1,26,WHITE,1,4,4,4,2
