V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q17,tol1,tol2,tol3,tol4,tol5,amount1,amount2,amount3,amount4,growth1,growth2,growth3,growth4,fixable1,fixable2,fixable3,fixable4,fixable5,fixable6,fixable7,bjw1,bjw2,bjw3,bjw4,bjw5,bjw6,bjw7,bjw8,bjw9,bjw10,bjw11,bjw12,bjw13,bjw14,bjw15,bjw16,bjw17,bjw18,sdo1,sdo2,sdo3,sdo4,sdo5,sdo6,sdo7,sdo8,sdo9,sdo10,sdo11,sdo12,sdo13,sdo14,sdo15,esjt1,esjt2,esjt3,esjt4,esjt5,esjt6,esjt7,esjt8,esjt9,esjt10,esjt11,esjt12,esjt13,esjt14,esjt15,esjt16,esjt17,pwe1,pwe2,pwe3,pwe4,pwe5,pwe6,pwe7,pwe8,pwe9,pwe10,pwe11,pwe12,pwe13,pwe14,pwe15,pwe16,pwe17,pwe18,pwe19,wvs,issp,inegal1,inegal2,inegal3,inegal4,inegal5,inegal6,inegal7,inegal8,redist1,redist2,redist3,redist4,Q28,Q29,dict.give,gender,age,ethnicity,income,ideol,soc.att,econ.att,partyID,Q18,comp.code
R_2Eo50l4voIt6m3G,Default Response Set,Anonymous,,,68.63.12.89,0,2018-05-08 11:26,2018-05-08 11:28,1,1,2,3,5,4,4,3,3,6,4,4,4,3,4,4,4,4,3,3,3,3,3,2,3,3,3,4,3,2,4,4,4,5,3,4,3,4,4,3,3,3,4,3,3,3,3,4,3,5,5,5,4,5,3,3,3,4,4,5,3,5,3,6,5,5,7,4,6,5,7,4,2,3,5,4,4,5,4,4,4,4,7,5,3,3,3,4,5,5,5,6,4,3,4,1,4,5,4,4,3,2,2,2,2,1,1,1,1,26,white,4,4,6,5,1,1,5254
R_27wbtO325XKHoPB,Default Response Set,Anonymous,,,74.109.219.133,0,2018-05-08 11:27,2018-05-08 11:29,1,1,3,5,6,5,3,4,5,3,5,6,6,3,4,5,3,4,6,5,5,3,5,3,4,4,3,2,2,4,3,4,2,2,4,2,3,4,1,3,3,6,6,4,2,5,5,2,5,6,6,4,4,2,5,3,6,6,8,7,7,2,5,5,4,2,7,7,4,6,6,3,3,5,5,4,6,6,3,4,2,3,5,5,3,6,6,5,4,4,5,3,5,3,4,3,4,3,1,4,3,3,3,1,3,1,1,11,1,22,white,1,4,4,4,2,1,4293
R_0N8i8qOhRZ2jqlX,Default Response Set,Anonymous,,,24.51.220.242,0,2018-05-08 11:27,2018-05-08 11:30,1,1,5,2,6,4,4,3,4,3,3,2,3,3,5,3,4,5,5,5,3,5,2,3,2,3,3,2,3,3,3,4,2,3,2,3,3,4,2,3,3,5,4,2,5,5,4,4,5,5,4,3,3,3,5,4,6,4,4,6,7,4,4,3,5,7,6,4,3,4,5,5,3,4,3,4,6,5,5,3,4,5,4,2,2,3,5,3,5,5,5,8,4,3,4,3,3,4,4,3,3,2,3,2,2,1,1,5,1,25,hispanic,15,6,5,5,3,1,5947
R_6h7RSomjkaatNjb,Default Response Set,Anonymous,,,45.52.6.116,0,2018-05-08 11:27,2018-05-08 11:30,1,1,5,4,4,4,4,4,4,4,4,3,3,3,3,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,5,5,4,4,5,4,4,4,4,5,4,5,5,5,6,4,4,6,5,5,5,5,6,5,4,4,6,6,4,5,5,4,4,4,5,4,5,5,4,4,4,4,4,5,4,4,5,4,4,6,4,3,4,4,3,4,4,4,3,3,3,3,2,1,1,5,2,45,white,9,8,8,8,2,1,4839
R_1KqBBFOv6gshXAF,Default Response Set,Anonymous,,,199.47.67.50,0,2018-05-08 11:27,2018-05-08 11:30,1,1,3,4,2,2,5,4,2,3,5,3,6,5,2,3,2,3,4,6,5,4,3,4,2,2,4,1,1,3,2,4,1,3,4,2,2,3,1,3,2,5,3,2,5,4,2,5,5,2,5,4,2,4,5,3,7,5,3,5,2,7,3,2,4,5,2,3,5,2,3,2,3,5,2,4,2,1,4,2,5,5,2,5,4,6,2,5,2,5,3,5,2,3,4,1,4,4,3,1,3,2,3,3,1,1,1,3,1,28,White,1,4,4,4,3,1,2195
R_rj7dTkodQu6YcVz,Default Response Set,Anonymous,,,173.52.94.48,0,2018-05-08 11:28,2018-05-08 11:30,1,1,5,5,4,4,2,4,4,5,3,4,4,4,3,4,3,3,3,4,4,4,2,3,3,2,2,3,3,2,3,3,3,2,3,3,3,2,3,4,4,4,3,3,4,4,4,3,3,3,4,4,4,4,5,4,4,4,4,3,3,5,5,4,4,4,4,4,4,5,5,7,4,3,3,3,3,3,3,3,4,3,4,3,4,3,4,4,6,5,6,6,5,4,3,3,3,3,4,4,3,2,2,2,3,1,1,1,1,23,asian pilipino,3,7,7,7,3,1,5607
R_2VqLSAPmfhIDYKR,Default Response Set,Anonymous,,,104.200.38.77,0,2018-05-08 11:27,2018-05-08 11:30,1,1,5,7,6,7,6,6,7,7,7,7,7,5,5,5,6,5,7,7,7,5,5,4,3,4,5,4,4,3,4,5,4,4,3,4,4,5,4,4,6,7,5,7,6,5,7,6,5,7,5,6,7,5,6,9,7,8,7,9,7,9,7,8,7,9,7,9,7,8,9,7,6,5,7,6,5,6,6,7,5,7,5,6,7,6,6,7,5,6,7,10,6,5,4,5,4,5,4,5,4,3,4,3,4,1,1,10,1,28,WHITE,3,2,2,1,2,1,9227
R_BMkXY0vGUSGyRYR,Default Response Set,Anonymous,,,192.182.87.251,0,2018-05-08 11:28,2018-05-08 11:30,1,1,5,3,3,5,4,3,4,5,5,4,4,3,4,4,4,5,4,4,3,3,4,3,3,3,3,4,4,3,2,2,2,3,3,3,3,2,3,4,3,3,4,4,4,3,3,4,5,4,4,3,3,5,5,5,4,5,6,4,3,4,6,6,5,5,4,4,6,5,4,5,3,3,5,5,3,4,4,4,4,5,4,3,4,4,5,4,4,3,5,6,3,4,3,4,3,3,4,4,3,2,3,2,3,1,1,1,1,22,hispanic,3,8,8,8,4,1,2848
R_qxrjWNjKaW6LYlP,Default Response Set,Anonymous,,,23.95.246.5,0,2018-05-08 11:27,2018-05-08 11:31,1,1,7,6,6,5,7,7,6,6,5,5,6,6,7,7,5,6,6,5,6,7,5,4,3,4,5,4,5,4,3,4,5,4,3,4,5,4,5,4,7,6,5,6,7,6,5,6,7,6,5,4,6,7,6,9,7,6,7,8,7,8,9,7,6,7,8,6,8,8,8,7,7,5,5,6,7,6,5,7,6,5,6,5,7,7,5,6,7,6,5,8,6,4,5,4,4,5,4,3,3,4,3,3,4,1,1,6,1,30,HISPANIC,6,7,6,2,3,1,3860
R_1jAKGzDh7VWv8DU,Default Response Set,Anonymous,,,24.47.141.90,0,2018-05-08 11:28,2018-05-08 11:31,1,1,4,5,3,6,5,5,5,3,3,3,5,5,3,3,5,5,6,5,4,5,2,4,2,4,4,4,4,2,2,4,4,4,3,4,4,4,4,2,5,5,5,5,5,4,4,5,3,3,4,5,5,4,3,9,4,6,4,6,4,6,4,6,4,6,6,6,6,4,4,7,5,5,3,3,5,5,5,3,5,5,3,5,5,3,3,5,3,3,3,4,5,4,4,3,3,3,3,4,3,3,3,3,3,1,1,6,1,20,White,7,4,4,4,2,1,1141
